id,name,municipality,iata_code
337374,Talmont Vendée Air Park,Talmont-Saint-Hilaire,
337375,Base ULM Thollon les Mémises,Thollon-les-Mémises,
337376,Fontrailles Ultralight Airfield,"Fontrailles, Hautes-Pyrénées",
337486,Pressignac Vicq Rebeyrotte,Pressignac-Vicq,
337488,Azur Ultralight Airfield,"Corbeny, Aisne",
338099,Mosloy Airfield,"La Ferté-Milon, Aisne",
338100,Ployart Ultralight Airfield,"Ployart-et-Vaurseine, Aisne",
338103,Brochot Aerodrome,"Chézy-sur-Marne, Aisne",
339741,Cesseville Ferme des Moulins Private Airfield,"Cesseville, Eure",
339742,Val-de-Reuil Ultralight Airfield,"Val-de-Reuil, Eure",
339743,Les Noyers Ultralight Airfield,"Noyers, Eure",
339744,Champrond Le Petit Bois Landry Ultralight Airfield,"Champrond-en-Gâtine, Eure-et-Loir",
339747,Base ULM de Sury en Vaux,Sury en Vaux,
339748,Guynem'air Ultralight Airfield,"Saint-Secondin, Vienne",
339749,Frossay Ultralight Airfield,"Frossay, Loire-Atlantique",
339750,Grange Dieu Levroux Ultralight Airfield,"Levroux, Indre",
339751,Beaulieu-sur-Loire Ultralight Airfield,"Beaulieu-sur-Loire, Loiret",
339761,Courseulles-sur-Mer Ultralight Airfield,"Courseulles-sur-Mer, Calvados",
350576,Altiport du Bez,Le Bez,
339763,Plouarzel Ultralight Airfield,"Plouarzel, Finistère",
339764,Ploballanec Ultralight Airfield,"Plobannalec-Lesconil, Finistère",
339766,Le Pommier Ultralight Airfield,"Saint-Maurice-la-Souterraine, Creuse",
339784,Saint-Benoît-sur-Loire Ultralight Airfield,"Saint-Benoît-sur-Loire, Loiret",
339785,La Collancelle Ultralight Airfield,"La Collancelle, Nièvre",
339786,Aerodrome de Fougères-sur-Bièvre,,
339787,Aérodrome privé Le Quilloux,Pléssé,
339788,Flavacourt Ultralight Airfield,"Flavacourt, Oise",
340045,Arbis Ultralight Airfield,"Porte-de-Benauge, Gironde",
340046,Saint-Pierre-de-Bat Ultralight Airfield,"Saint-Pierre-de-Bat, Gironde",
340067,Siersthal Airstrip,,
340400,Casa del Mare Helipad,Roquebrune-Cap-Martin,
340401,Avenue Impératrice Eugénie Heliport,Roquebrune-Cap-Martin,
340402,Avenue Douine Heliport,Roquebrune-Cap-Martin,
340427,Le Palais Rescue Center Heliport,Le Palais,
340428,Glénan Heliport,Fouesnant,
340429,Île-de-Sein Heliport,Île-de-Sein,
340430,Île-Molène Heliport,Île-Molène,
340431,Chausey Heliport,Granville,
342295,Neuflieux Airfield,"Neuflieux, Aisne",
342298,Corbeny Ultralight Airfield,"Corbeny, Aisne",
342300,Taillefontaine Airfield,"Taillefontaine, Aisne",
342315,"Altisurface du Glacier du Passon ""du haut""",,
342321,Kogenheim Ultralight Airfield,"Kogenheim, Bas-Rhin",
342323,Albé-Val de Villé Airfield,Albé,
342325,Salmbach Ultralight Airfield,"Salmbach, Bas-Rhin",
342326,Wissembourg Ultralight Airfield,"Wissembourg, Bas-Rhin",
342327,Batzendorf Ultralight Airfield,"Batzendorf, Bas-Rhin",
342519,Aérodrome de l'Emonière,,
342525,Évaux Airfield,"Chambon-sur-Voueize, Creuse",
342646,Ancien Aérodrome de Soustons,Léon,
342658,Vol d'Oiseau Ultralight Airfield,"Saint-Sulpice-de-Royan, Charente-Maritime",
343347,Aérodrome de Cossé le Vivien,,
345349,Joigny Ultralight Airfield,"Étréchy, Cher",
346267,Cizay-la-Madeleine UL,,
346433,Piste privée de La Cornélie,,
347477,Villa Salmanazar Helipad,Ramatuelle,
347602,Villard-Notre-Dame Airfield,"Villard-Notre-Dame, Isère",
347603,Nossage Le Priora Airfield,Nossage-et-Bénévent,
347604,Saint-Martin-de-Castillon Airfield,Saint-Martin-de-Castillon,
347605,Lac Fourchu Airfield,Livet-et-Gavet,
348515,Altisurface de Banon,Banon,
348581,Chélan,Chélan,
349121,Chaillé-les-Marais Private Airstrip,,
350584,Avaux-Les Bourdons Ultralight Airfield,"Asfeld, Ardennes",
350586,Régat Ultralight Airfield,"Régat, Ariège",
354000,Treigny Ultralight Airfield,"Treigny, Yonne",
354009,Perreux Airfield,"Charny-Orée-de-Puisaye, Yonne",
354018,Genevrelle à Maisse Airfield,"Maisse, Essonne",
354020,Base Paramoteurs de Boigny-Méréville,Méréville,
354021,Avernes Paramotor Airfield,"Avernes, Val-d'Oise",
354023,La Grosse Ferme Florimont ULM,Florimont,
354052,La Fullie,ECOLE,
355191,Les Ailes d'Eure et Loir Airfield,"Pierres, Eure-et-Loir",
355195,Écrosnes ULM,Écrosnes,
355202,Base ULM du Le Gault-Saint-Denis,Le Gault-Saint-Denis,
356274,Zoufftgen Airfield,Zoufftgen,
356278,Mouy Airfield,,
429762,La Trétoire Ultralight Airfield,"La Trétoire, Seine-et-Marne",
429767,Le Plantis Heliport,Le Plantis,
429770,Chevry-Cossigny Paramotor Field,"Chevry-Cossigny, Seine-et-Marne",
429985,Boulogne-sur-Mer - Alprech Aerodrome,Le Portel,
